Aktivitetstype,Dato,Favorit,Titel,Distance,Kalorier,Tid,Gennemsnitlig puls,Maks. puls,Aerob TE,Gennemsnitlig svømmekadence,Maksimum svømmekadence,Gennemsnitstempo,Bedste tempo,Samlet stigning,Samlet nedstigning,Gennemsnitlig skridtlængde,Gennemsnitligt vertikalt forhold,Gennemsnitligt vertikalt udsving,Gennemsnitlig kontakt med jorden,Gennemsnitlig GCT-balance,Gennemsnitlig NJT,Normalized Power® (NP®),Training Stress Score®,Gennemsnitlig effekt,Maksimal effekt,Samlet antal svømmetag,Gennemsnitlig swolf,Gennemsnitlig hastighed for tag,Skridt,Samlet antal sæt,Afladning af Body Battery,Minimum temperatur,Dekompression,Tid for bedste omgang,Antal omgange,Maksimum temperatur,Gns. antal åndedrag,Min. antal åndedrag,Maks. antal åndedrag,Tid i bevægelse,Tidsforbrug,Minimum højde,Maksimal højde
Løb,2025-10-16 18:54:17,false,"Skanderborg - Restitution","5.11","402","0:32","146","162","2.3","162","192","6:07","4:04","31","27","1.01","10.7","10.9","281","51.6% V / 48.4% H","6:08","368","0.0","364","538","--","--","--","5,036","--","-5","--","Nej","00:00:28.3","2","--","28","20","39","00:31:16","00:31:17","41","64"
Løb,2025-10-16 06:25:36,false,"Skanderborg - Basis","6.51","497","0:35","152","173","3.0","168","179","5:18","3:58","25","20","1.13","9.9","11.4","257","51.7% V / 48.3% H","5:17","422","0.0","416","574","--","--","--","5,750","--","-9","--","Nej","00:07:19.6","2","--","32","17","41","00:34:30","00:34:30","42","59"
Løb,2025-10-15 16:00:07,false,"Skanderborg - Basis","6.52","510","0:35","157","170","3.1","166","175","5:20","4:38","35","25","1.13","10.1","11.6","260","51.8% V / 48.2% H","5:18","427","0.0","423","556","--","--","--","5,732","--","-5","--","Nej","00:08:06.9","2","--","34","13","44","00:34:43","00:34:44","39","54"
Løb,2025-10-14 15:03:52,false,"Skanderborg - Basis","11.02","869","1:03","155","170","3.3","164","192","5:38","3:51","109","109","1.08","10.1","11.2","276","51.7% V / 48.3% H","5:35","395","0.0","389","599","--","--","--","10,126","--","-10","--","Nej","00:05:26.5","3","--","34","14","46","01:02:04","01:02:05","25","70"
Styrketræning,2025-10-14 06:14:36,false,"Styrke","0.00","205","0:50","94","129","0.2","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","1","-5","--","Nej","00:49:48","1","--","18","12","26","00:49:48","00:49:48","--","--"
Cykling,2025-10-13 14:47:10,false,"Aarhus Cykling","23.05","781","1:06","144","163","3.0","--","--","21.1","43.9","179","134","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","-8","--","Nej","00:08:24.2","5","--","31","22","38","01:03:05","01:05:29","-3","85"
Cykling,2025-10-13 06:12:37,false,"Skanderborg Cykling","23.51","760","1:00","144","171","2.9","--","--","23.6","49.2","135","174","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","-14","--","Nej","00:07:40.1","5","--","30","21","39","00:57:16","00:59:39","1","55"
Løb,2025-10-12 15:13:14,false,"Skanderborg - Anaerob","6.54","492","0:34","158","184","3.2","168","223","5:10","2:07","27","26","1.16","9.5","10.9","260","51.2% V / 48.8% H","5:04","432","0.0","408","760","--","--","--","5,582","--","-6","--","Nej","00:00:40","17","--","33","16","44","00:33:45","00:33:45","47","62"
Svøm i pool,2025-10-11 12:36:49,false,"Svøm i pool","1,500","636","0:50","150","178","3.1","--","--","2:58","0:55","--","--","--","--","--","--","--","--","--","0.0","--","--","1010","61","23","--","--","--","--","Nej","00:00:06.0","16","--","--","--","--","00:44:25","00:50:11","--","--"
Løb,2025-10-11 09:01:35,false,"Skanderborg - Langt løb","21.61","1,677","2:00","159","177","4.1","165","208","5:32","3:47","247","241","1.09","10.0","11.1","271","51.7% V / 48.3% H","5:30","407","0.0","400","588","--","--","--","19,596","--","-25","--","Nej","00:08:56.0","5","--","35","19","45","01:59:37","02:04:30","16","70"
Løb,2025-10-10 06:09:19,false,"Skanderborg - Basis","10.04","781","0:57","151","173","3.2","168","179","5:37","4:31","66","61","1.06","10.3","11.1","258","51.7% V / 48.3% H","5:35","402","0.0","398","512","--","--","--","9,416","--","-14","--","Nej","00:00:09.9","3","--","35","17","45","00:56:18","00:56:20","34","68"
Løb,2025-10-09 15:26:06,false,"Skanderborg - Basis","7.24","565","0:39","160","175","3.2","163","177","5:21","4:12","51","47","1.14","10.4","12.0","267","51.5% V / 48.5% H","5:19","432","0.0","426","589","--","--","--","6,270","--","-7","--","Nej","00:12:29","2","--","34","17","41","00:38:42","00:38:42","37","56"
Styrketræning,2025-10-09 05:49:55,false,"Styrke","0.00","169","0:50","89","126","0.1","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","4","-4","--","Nej","00:49:50","1","--","17","11","25","00:44:04","00:49:50","--","--"
Cykling,2025-10-08 14:28:29,false,"Aarhus Cykling","23.03","793","1:00","151","171","3.3","--","--","23.3","46.5","186","141","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","-9","--","Nej","00:07:18.3","5","--","32","24","39","00:57:28","00:59:15","-3","84"
Cykling,2025-10-08 06:01:11,false,"Skanderborg Cykling","23.62","781","1:01","147","173","3.2","--","--","23.3","47.0","123","164","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","-15","--","Nej","00:09:06.2","5","--","31","18","39","00:54:50","01:00:44","1","55"
