Aktivitetstype,Dato,Favorit,Titel,Distance,Kalorier,Tid,Gennemsnitlig puls,Maks. puls,Aerob TE,Gennemsnitlig svømmekadence,Maksimum svømmekadence,Gennemsnitstempo,Bedste tempo,Samlet stigning,Samlet nedstigning,Gennemsnitlig skridtlængde,Gennemsnitligt vertikalt forhold,Gennemsnitligt vertikalt udsving,Gennemsnitlig kontakt med jorden,Gennemsnitlig GCT-balance,Gennemsnitlig NJT,Normalized Power® (NP®),Training Stress Score®,Gennemsnitlig effekt,Maksimal effekt,Samlet antal svømmetag,Gennemsnitlig swolf,Gennemsnitlig hastighed for tag,Skridt,Samlet antal sæt,Afladning af Body Battery,Minimum temperatur,Dekompression,Tid for bedste omgang,Antal omgange,Maksimum temperatur,Gns. antal åndedrag,Min. antal åndedrag,Maks. antal åndedrag,Tid i bevægelse,Tidsforbrug,Minimum højde,Maksimal højde
Gang,2025-09-04 15:12:33,false,"Skanderborg Gang","1.77","115","0:19","82","98","0.3","111","136","10:13","8:33","21","21","0.88","--","--","--","--","--","--","0.0","--","--","--","--","--","2,034","--","-1","--","Nej","00:07:35.2","2","--","--","--","--","00:17:31","00:21:06","44","57"
Løb,2025-09-03 15:49:08,false,"Skanderborg - Restitution","5.96","468","0:37","144","156","2.5","164","182","6:03","4:13","34","32","1.01","11.1","11.4","274","51.9% V / 48.1% H","6:00","380","0.0","376","493","--","--","--","5,854","--","-7","--","Nej","00:05:39.1","2","--","30","23","45","00:36:04","00:38:08","40","53"
Løb,2025-09-02 15:22:49,false,"Aarhus - Restitution","5.85","480","0:36","145","159","2.8","168","199","6:01","5:12","14","12","1.00","11.1","11.3","264","51.5% V / 48.5% H","6:00","374","0.0","373","470","--","--","--","5,844","--","-6","--","Nej","00:05:01.2","2","--","33","22","45","00:35:08","00:35:09","-0","7"
Løb,2025-09-01 19:28:31,false,"Skanderborg - Restitution","5.60","466","0:33","156","168","3.0","165","180","5:50","5:13","23","21","1.04","11.2","11.9","265","51.8% V / 48.2% H","5:50","391","0.0","388","465","--","--","--","5,320","--","-5","--","Nej","00:03:34.7","2","--","34","19","41","00:32:39","00:32:39","42","53"
Løb,2025-08-31 15:20:10,false,"Skanderborg - Restitution","6.59","537","0:40","152","168","2.9","160","179","6:03","5:00","35","34","1.03","11.0","11.5","285","51.8% V / 48.2% H","6:02","381","0.0","372","506","--","--","--","6,326","--","-7","--","Nej","00:09:54.7","2","--","35","17","47","00:39:55","00:39:55","41","64"
Gang,2025-08-31 07:27:40,false,"Skanderborg Gang","1.70","111","0:18","84","100","0.3","114","130","10:18","4:24","20","15","0.85","--","--","--","--","--","--","0.0","--","--","--","--","--","2,006","--","-3","--","Nej","00:07:11.3","2","--","--","--","--","00:17:24","00:19:36","42","54"
Løb,2025-08-30 09:29:43,false,"Skanderborg - Basis","15.53","1,230","1:31","153","170","3.7","164","198","5:49","4:13","95","94","1.05","10.7","11.4","276","51.4% V / 48.6% H","5:47","390","0.0","383","529","--","--","--","14,630","--","-21","--","Nej","00:14:49","4","--","36","17","50","01:30:16","01:33:12","21","54"
Løb,2025-08-29 15:44:13,false,"Skanderborg - Basis","7.51","590","0:43","152","165","3.0","163","185","5:37","5:00","36","36","1.09","10.7","11.9","268","51.8% V / 48.2% H","5:37","403","0.0","399","483","--","--","--","6,820","--","-8","--","Nej","00:14:04","2","--","32","19","40","00:42:08","00:43:21","41","64"
Gang,2025-08-28 20:10:44,false,"Skanderborg Gang","4.00","263","0:40","89","98","0.7","113","222","9:57","8:53","28","24","0.89","--","--","--","--","--","--","0.0","--","--","--","--","--","4,536","--","-3","--","Nej","00:00:01.9","5","--","--","--","--","00:39:32","00:39:52","41","63"
Løb,2025-08-27 15:08:38,false,"Aarhus - Basis","6.39","512","0:36","156","166","3.0","163","187","5:34","4:16","17","17","1.10","11.0","12.3","260","51.2% V / 48.8% H","5:34","410","0.0","407","626","--","--","--","5,754","--","-8","--","Nej","00:07:32.4","2","--","35","18","45","00:35:29","00:35:30","--","9"
Styrketræning,2025-08-26 16:31:03,false,"Styrke","0.00","70","0:11","110","135","0.2","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","1","-1","--","Nej","00:10:35","1","--","19","14","27","00:10:35","00:10:35","--","--"
Løb,2025-08-26 15:42:53,false,"Skanderborg - Basis","7.02","560","0:42","150","169","2.9","160","182","5:52","4:41","33","30","1.07","10.9","11.9","284","51.0% V / 49.0% H","5:51","391","0.0","382","551","--","--","--","6,476","--","-9","--","Nej","00:11:15","2","--","33","17","41","00:41:07","00:41:08","42","65"
Gang,2025-08-25 18:16:28,false,"Skanderborg Gang","1.49","98","0:22","80","103","0.1","86","227","14:23","5:37","19","17","0.81","--","--","--","--","--","--","0.0","--","--","--","--","--","2,086","--","-1","--","Nej","00:06:48.6","2","--","--","--","--","00:20:47","00:21:40","43","56"
Løb,2025-08-23 13:56:53,false,"Skanderborg - Basis","23.52","1,828","2:18","152","169","4.0","162","183","5:51","4:29","223","218","1.05","10.1","10.9","290","51.5% V / 48.5% H","5:49","386","0.0","375","527","--","--","--","22,126","--","-20","--","Nej","00:04:41.9","6","--","34","26","43","02:17:34","02:22:22","15","67"
Løb,2025-08-23 07:18:34,false,"Skanderborg - Basis","7.51","594","0:41","150","171","3.1","171","196","5:26","4:23","52","45","1.08","10.0","11.0","257","51.4% V / 48.6% H","5:26","400","0.0","397","528","--","--","--","6,896","--","-13","--","Nej","00:13:39","2","--","34","13","42","00:40:49","00:46:51","36","70"
Løb,2025-08-22 13:56:17,false,"Skanderborg - VO2 Maks.","10.07","796","0:58","151","167","3.2","166","187","5:44","3:33","97","97","1.05","10.3","11.0","270","51.8% V / 48.2% H","5:44","394","0.0","389","587","--","--","--","9,442","--","-12","--","Nej","00:00:00.6","17","--","34","14","41","00:57:43","00:58:43","37","64"
Løb,2025-08-21 19:23:28,false,"Skanderborg - Basis","5.18","399","0:32","141","159","2.4","165","175","6:01","4:52","24","16","1.00","10.6","10.8","275","51.8% V / 48.2% H","6:01","369","0.0","365","485","--","--","--","5,110","--","-5","--","Nej","00:00:58.4","2","--","30","19","37","00:31:08","00:32:16","41","60"
Løb,2025-08-20 19:07:18,false,"Skanderborg - Basis","8.26","678","0:49","153","173","3.1","164","182","5:50","4:57","36","35","1.05","10.3","11.0","276","51.7% V / 48.3% H","5:49","381","0.0","374","492","--","--","--","7,816","--","-8","--","Nej","00:02:10.7","3","--","33","16","40","00:48:10","00:48:11","42","63"
Gang,2025-08-20 14:01:50,false,"Skanderborg Gang","5.34","348","0:55","97","119","0.9","114","131","10:09","8:16","33","30","0.87","--","--","--","--","--","--","0.0","--","--","--","--","--","6,192","--","-4","--","Nej","00:03:24.3","6","--","--","--","--","00:54:09","00:54:10","40","55"
Styrketræning,2025-08-20 06:27:46,false,"Styrke","0.00","196","0:55","88","128","0.2","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","1","-5","--","Nej","00:54:14","1","--","17","11","25","00:54:14","00:54:14","--","--"
Løb,2025-08-19 15:20:23,false,"Aarhus - Langt løb","15.42","1,145","1:25","152","166","3.6","165","179","5:28","4:35","29","25","1.07","10.4","11.2","269","51.7% V / 48.3% H","5:24","408","0.0","402","520","--","--","--","13,826","--","-14","--","Nej","00:02:14.0","4","--","35","17","47","01:24:06","01:26:49","-3","7"
Løb,2025-08-18 15:05:49,false,"Skanderborg - Langt løb","17.39","1,278","1:45","150","171","3.5","155","184","6:00","4:33","168","158","1.07","10.0","10.7","317","51.5% V / 48.5% H","6:01","372","0.0","356","575","--","--","--","16,006","--","-15","--","Nej","00:13:51","4","--","34","20","46","01:44:07","01:50:12","24","68"
Styrketræning,2025-08-18 06:01:26,false,"Styrke","0.00","183","1:11","82","122","0.1","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","1","-5","--","Nej","01:10:46","1","--","15","10","22","01:10:46","01:10:46","--","--"
Løb,2025-08-17 14:12:57,false,"Skanderborg - Langt løb","17.83","1,288","1:51","142","166","3.4","150","174","6:13","4:41","102","99","1.04","10.1","10.6","334","51.5% V / 48.5% H","6:19","365","0.0","338","552","--","--","--","16,530","--","-11","--","Nej","00:23:55","4","--","32","18","42","01:50:16","02:01:47","38","72"
Svømning i åbent vand,2025-08-16 10:38:06,false,"Santa Margalida Svømning i åbent vand","700","241","0:22","130","155","1.8","--","--","3:07","1:38","--","--","--","--","--","--","--","--","--","0.0","--","--","456","86","22","--","--","-3","31.0","Nej","00:00:34.8","2","31.0","--","--","--","00:14:43","00:24:07","--","--"
Løb,2025-08-16 07:28:37,false,"Santa Margalida - Basis","9.40","752","0:54","152","172","3.2","163","184","5:42","4:52","34","32","1.08","11.0","12.0","266","52.0% V / 48.0% H","5:42","397","0.0","394","565","--","--","--","8,678","--","-12","--","Nej","00:25:06","2","--","35","16","47","00:53:36","00:53:38","1","25"
Styrketræning,2025-08-15 15:15:54,false,"Vand Polo","0.00","390","0:52","117","162","1.6","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","1","--","--","Nej","00:51:42","1","--","--","--","--","00:51:42","00:51:42","--","--"
Svømning i åbent vand,2025-08-15 09:47:13,false,"Santa Margalida Svømning i åbent vand","750","246","0:30","116","156","1.1","--","--","3:58","1:07","--","--","--","--","--","--","--","--","--","0.0","--","--","420","89","15","--","--","-1","30.0","Nej","00:04:52.7","2","31.0","--","--","--","00:17:23","00:31:37","--","--"
Svømning i åbent vand,2025-08-14 10:04:51,false,"Santa Margalida Svømning i åbent vand","650","314","0:31","127","156","2.0","--","--","4:42","1:07","--","--","--","--","--","--","--","--","--","0.0","--","--","421","93","14","--","--","-4","31.0","Nej","00:04:56.5","2","33.0","--","--","--","00:16:29","00:30:32","--","--"
Løb,2025-08-14 06:25:42,false,"Santa Margalida - Basis","10.32","814","1:03","141","160","3.0","165","211","6:04","5:05","49","47","1.00","11.1","11.2","269","52.0% V / 48.0% H","6:03","368","0.0","364","494","--","--","--","10,180","--","-15","--","Nej","00:04:39.9","3","--","33","22","42","01:02:39","01:02:40","2","13"
Løb,2025-08-13 17:44:07,false,"Santa Margalida Løb","5.23","434","0:30","163","179","3.1","163","176","5:38","5:03","17","22","1.09","10.3","11.5","272","52.0% V / 48.0% H","5:37","385","0.0","383","484","--","--","--","4,760","--","-5","--","Nej","00:01:16.8","2","--","36","25","48","00:29:27","00:29:29","3","16"
Styrketræning,2025-08-13 15:10:54,false,"Styrke","0.00","466","0:45","136","173","2.5","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","1","-4","--","Nej","00:44:38","1","--","--","--","--","00:44:38","00:44:38","--","--"
Løb terræn,2025-08-13 06:20:18,false,"Santa Margalida - Langt løb","11.64","924","1:13","143","162","3.0","163","187","6:15","5:07","44","42","0.99","11.6","11.6","271","51.7% V / 48.3% H","6:14","363","0.0","360","497","--","--","--","11,648","--","-18","--","Nej","00:03:41.4","12","--","32","14","41","01:12:39","01:13:42","1","20"
Vandring,2025-08-12 19:36:32,false,"Santa Margalida Vandring","2.61","201","0:50","94","113","0.1","87","158","18:51","11:10","29","34","0.61","--","--","--","--","--","--","0.0","--","--","--","--","--","3,944","--","-1","--","Nej","00:49:08","1","--","18","11","25","00:46:12","00:50:31","0","13"
Svømning i åbent vand,2025-08-12 14:49:55,false,"Santa Margalida Svømning i åbent vand","666","325","0:27","137","160","2.3","--","--","4:02","1:52","--","--","--","--","--","--","--","--","--","0.0","--","--","521","80","20","--","--","-4","31.0","Nej","00:05:58.3","2","32.0","--","--","--","00:19:02","00:30:11","--","--"
Cykling,2025-08-12 11:26:31,false,"Alcúdia Cykling","13.46","326","0:56","103","130","0.7","--","--","14.4","29.8","37","44","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","-6","--","Nej","00:14:04","3","--","--","--","--","00:53:32","01:08:52","-1","14"
Cykling,2025-08-12 09:26:10,false,"Santa Margalida Cykling","14.92","375","1:08","100","132","0.8","--","--","13.2","21.3","29","20","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","-8","--","Nej","00:18:59","3","--","--","--","--","01:01:51","01:10:05","0","16"
Vandring,2025-08-11 20:05:46,false,"Santa Margalida Vandring","1.36","128","0:30","88","121","0.1","60","176","21:42","2:13","18","18","0.77","--","--","--","--","--","--","0.0","--","--","--","--","--","2,018","--","-1","--","Nej","00:29:34","1","--","--","--","--","00:20:57","00:29:34","1","9"
Svømning i åbent vand,2025-08-11 09:48:24,false,"Santa Margalida Svømning i åbent vand","404","191","0:23","116","148","0.9","--","--","5:30","1:14","--","--","--","--","--","--","--","--","--","0.0","--","--","277","100","13","--","--","-3","30.0","Nej","00:22:13","1","31.0","--","--","--","00:11:40","00:22:13","--","--"
Styrketræning,2025-08-11 07:06:42,false,"Styrke","0.00","271","0:43","104","140","0.6","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","1","-5","--","Nej","00:42:24","1","--","--","--","--","00:42:24","00:42:24","--","--"
Svømning i åbent vand,2025-08-10 14:40:17,false,"Santa Margalida Svømning i åbent vand","461","228","0:26","119","151","1.2","--","--","5:34","1:52","--","--","--","--","--","--","--","--","--","0.0","--","--","297","100","13","--","--","-3","30.0","Nej","00:25:44","1","32.0","--","--","--","00:12:26","00:25:44","--","--"
Svømning i åbent vand,2025-08-10 10:24:14,false,"Santa Margalida Svømning i åbent vand","402","137","0:15","121","161","1.1","--","--","3:43","1:46","--","--","--","--","--","--","--","--","--","0.0","--","--","251","71","20","--","--","-2","29.0","Nej","00:14:56","1","32.0","--","--","--","00:10:42","00:28:03","--","--"
Løb,2025-08-10 07:09:03,false,"Santa Margalida - Restitution","5.21","416","0:32","142","166","2.6","162","184","6:05","4:53","20","15","1.03","11.7","12.2","270","51.7% V / 48.3% H","6:02","392","0.0","384","499","--","--","--","5,060","--","-7","--","Nej","00:01:39.9","2","--","33","24","42","00:31:39","00:32:36","1","11"
Cykling på grusveje,2025-08-09 10:40:23,false,"Skanderborg Cykling på grusveje/ikke brolagte veje","18.80","503","0:49","129","149","2.2","--","--","23.2","43.1","146","138","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","-8","--","Nej","00:11:25","4","--","--","--","--","00:48:22","00:48:38","14","64"
Styrketræning,2025-08-08 13:01:38,false,"Styrke","0.00","187","0:36","103","118","0.3","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","1","-2","--","Nej","00:35:12","1","--","20","12","25","00:35:12","00:35:12","--","--"
Løb,2025-08-08 10:57:17,false,"Skanderborg - Basis","18.23","1,454","1:50","150","170","3.7","160","214","6:00","3:22","175","174","1.04","10.7","11.3","292","51.3% V / 48.7% H","5:57","382","0.0","372","560","--","--","--","17,264","--","-25","--","Nej","00:03:35.8","5","--","35","21","46","01:49:16","01:56:03","22","99"
Styrketræning,2025-08-07 15:27:44,false,"Styrke","0.00","224","0:49","96","129","0.3","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","1","-2","--","Nej","00:48:27","1","--","19","11","28","00:48:27","00:48:27","--","--"
Løb,2025-08-07 14:36:40,false,"Skanderborg - Basis","6.75","522","0:41","141","158","2.6","160","181","6:01","4:58","39","34","1.04","10.9","11.5","289","50.8% V / 49.2% H","6:01","387","0.0","377","489","--","--","--","6,422","--","-7","--","Nej","00:10:25","2","--","32","17","46","00:40:33","00:41:19","36","58"
Gang,2025-08-05 16:24:35,false,"Skanderborg Gang","1.82","121","0:24","86","108","0.2","90","167","13:11","5:54","23","19","0.84","--","--","--","--","--","--","0.0","--","--","--","--","--","2,360","--","-1","--","Nej","00:10:23","2","--","--","--","--","00:22:44","00:23:59","42","61"
Løb,2025-08-05 08:53:02,false,"Skanderborg - Basis","21.15","1,656","2:07","147","164","3.9","164","184","5:59","4:45","230","235","1.02","10.8","11.2","276","51.5% V / 48.5% H","5:57","387","0.0","380","543","--","--","--","20,600","--","-28","--","Nej","00:09:57.3","5","--","35","21","48","02:06:38","02:14:36","16","69"
Løb,2025-08-04 16:53:17,false,"Morsø Løb","9.16","738","0:56","148","165","3.1","159","182","6:04","5:05","63","59","1.04","11.2","11.8","277","51.3% V / 48.7% H","6:04","387","0.0","380","535","--","--","--","8,740","--","-8","--","Nej","00:25:04","2","--","33","23","39","00:55:24","00:55:31","5","23"
